Gen,Case,Fitness,NPV,ABS Diff,Parents
0,0,0,0,0,standard
0,1,0,0,0,standard
0,2,0,0,0,standard
0,3,0,0,0,standard
0,4,0,0,0,standard
0,5,0,0,0,standard
0,6,0,0,0,standard
0,7,0,0,0,standard
1,0,1445.3797718376334,469463.11268207146,0,none
1,1,999999999.99,0,0,none
1,2,999999999.99,0,0,none
1,3,15608.004421278125,1550690.3073643213,0,none
1,4,999999999.99,0,0,none
1,5,15608.015790718198,1327483.9430379448,0,none
1,6,1367.075707905993,439594.3111397451,0,none
1,7,999999999.99,0,0,none
1,8,338.74953554453083,423236.1360091473,0,none
1,9,15608.336009453744,1322554.7066725693,0,none
1,10,453.4844349003089,437106.36528496403,0,none
1,11,90.51228601019302,404891.2135207203,0,none
1,12,1411.4235641584237,498101.6079874013,0,none
1,13,15608.010871166953,1426589.5599599853,0,none
1,14,999999999.99,0,0,none
1,15,202.8506014110973,418713.90269547503,0,none
1,16,15608.000398220496,1550434.0479336865,0,none
1,17,415.0887307388822,434241.09296469716,0,none
1,18,266.8869377112539,375482.88122580934,0,none
1,19,15608.001153679916,1472047.1096969796,0,none
1,20,999999999.99,0,0,none
1,21,382.53842227865726,375194.4096742017,0,none
1,22,239.62751584875903,419933.38666322967,0,none
1,23,1130.4596021919963,461891.2738764482,0,none
1,24,999999999.99,0,0,none
1,25,15608.149963778926,1244703.9285261047,0,none
1,26,1431.241118445116,498745.7203794958,0,none
1,27,999999999.99,0,0,none
1,28,100.92249486566335,409331.6983637004,0,none
1,29,15608.102183273131,1372836.3892990493,0,none
1,30,990.026977173736,455712.1491270754,0,none
1,31,15608.013749568207,1453523.0260446651,0,none
1,32,276.3159246696352,419670.13300701306,0,none
1,33,730.6202739357905,317480.8049724876,0,none
1,34,999999999.99,0,0,none
1,35,224.07688109446744,415976.4213181949,0,none
1,36,572.3016689656307,408188.0303289227,0,none
1,37,999999999.99,0,0,none
1,38,999999999.99,0,0,none
1,39,407.74918660449543,433916.1651421176,0,none
1,40,917.8599110116113,472333.33959365793,0,none
1,41,541.9951318243913,349886.21229905804,0,none
1,42,15608.012607875535,1546982.2141530113,0,none
1,43,1737.9077559834054,480425.01405714854,0,none
1,44,999999999.99,0,0,none
1,45,999999999.99,0,0,none
1,46,519.9083222596211,417526.9866427742,0,none
1,47,681.3258833558507,450363.00682052266,0,none
1,48,1041.4748820537377,457854.7899532798,0,none
1,49,15608.095411097845,1431030.5443575943,0,none
1,50,17.51235771399225,400253.3108581037,0,none
1,51,1353.6199538862327,493156.1209969868,0,none
1,52,1032.370531246724,479370.1174935092,0,none
1,53,15608.000710767721,1395707.5717594095,0,none
1,54,670.1218761349588,333185.0319915121,0,none
1,55,15608.014493631026,1530522.946313383,0,none
1,56,15608.000546002664,1601021.2768862487,0,none
1,57,999999999.99,0,0,none
1,58,271.58119177608273,425239.65419851587,0,none
1,59,15608.000546002664,1550097.217279541,0,none
1,60,1033.191497741239,484173.01797293365,0,none
1,61,706.2614507610159,395911.17064321175,0,none
1,62,15607.975004349415,1310771.9701087177,0,none
1,63,999999999.99,0,0,none
1,64,15608.11980912765,1304134.8461729488,0,none
1,65,329.4872299989439,422271.082253809,0,none
1,66,101.26672111504055,382189.5344585995,0,none
1,67,999999999.99,0,0,none
1,68,999999999.99,0,0,none
1,69,999999999.99,0,0,none
1,70,323.48729938586524,427512.8055837704,0,none
1,71,352.54462199992327,431063.1108329806,0,none
1,72,507.2016566000071,437889.01631359017,0,none
1,73,15608.030982995237,1448722.1866552045,0,none
1,74,999999999.99,0,0,none
1,75,309.4934586625503,400028.22267636494,0,none
1,76,15600.37823250603,1292293.3935793913,0,none
1,77,15608.0124388081,1490287.948552943,0,none
1,78,384.5224783270337,367158.80692477955,0,none
1,79,79.97139670019868,396952.2743512434,0,none
1,80,266.9864150631617,418275.00067948474,0,none
1,81,547.4208945855206,438656.7047407322,0,none
1,82,1658.5696238939736,431865.1751842063,0,none
1,83,999999999.99,0,0,none
1,84,15608.003981270213,1497590.3546313944,0,none
1,85,1211.9172135612716,475107.73909110174,0,none
1,86,999999999.99,0,0,none
1,87,15608.000830487039,1507669.883929704,0,none
1,88,999999999.99,0,0,none
1,89,653.3076420351617,447576.2396534724,0,none
1,90,1563.0440492801506,473310.8248653983,0,none
1,91,1255.0476599521705,499631.60886620265,0,none
1,92,215.53656240075023,416549.01762276783,0,none
1,93,999999999.99,0,0,none
1,94,458.6496778938782,393533.42897105194,0,none
1,95,1769.6381932605223,522046.3051603194,0,none
1,96,999999999.99,0,0,none
1,97,312.628058890255,365038.5112173598,0,none
1,98,999999999.99,0,0,none
1,99,999999999.99,0,0,none
1,100,15608.003404730674,1522784.6692426056,0,none
1,101,197.87077208226455,409886.2904181257,0,none
1,102,1506.4325591637503,491232.32280078554,0,none
1,103,1505.571159320476,405848.624068456,0,none
1,104,1366.3279047484798,485902.22940731165,0,none
1,105,999999999.99,0,0,none
1,106,999999999.99,0,0,none
1,107,32.68994002071593,398239.81738279376,0,none
1,108,15608.0113805157,1508855.93270781,0,none
1,109,15608.00430343526,1374777.181870788,0,none
1,110,15608.017458142822,1387673.3367526343,0,none
1,111,1169.6119793831965,476147.4584923038,0,none
1,112,1437.2727536613957,516557.2988524499,0,none
1,113,599.5506017621997,445158.9451863035,0,none
1,114,15608.014781486567,1418082.7761569037,0,none
1,115,999999999.99,0,0,none
1,116,15608.008697132927,1547821.9565498177,0,none
1,117,1559.2650911227906,483539.77499440516,0,none
1,118,1521.7555588608748,523946.17219258595,0,none
1,119,999999999.99,0,0,none
1,120,590.8057979492544,430164.57070882054,0,none
1,121,1433.3126540991304,430694.967469899,0,none
1,122,893.396254098428,444306.95119026536,0,none
1,123,1557.1820593719751,405036.24244319065,0,none
1,124,999999999.99,0,0,none
1,125,1209.880445619399,499196.3809523738,0,none
1,126,1227.487523767604,481236.5480974451,0,none
1,127,1646.7841873137977,480509.3695651851,0,none
1,128,999999999.99,0,0,none
1,129,1701.8894348803822,521942.5402016662,0,none
1,130,999999999.99,0,0,none
1,131,999999999.99,0,0,none
1,132,594.7442102458455,343906.5666874496,0,none
1,133,1430.641112375543,503902.90198242967,0,none
1,134,15608.000250641164,1499061.3999416204,0,none
1,135,37.46354456085068,404917.5250765982,0,none
1,136,999999999.99,0,0,none
1,137,999999999.99,0,0,none
1,138,1751.1345304059125,488623.32217309816,0,none
1,139,999999999.99,0,0,none
1,140,15608.007303857365,1410579.367796156,0,none
1,141,15608.000546002664,1588918.5742814678,0,none
1,142,999999999.99,0,0,none
1,143,999999999.99,0,0,none
1,144,15608.440638557075,1282335.5152329328,0,none
1,145,462.8203933402688,432020.8099734835,0,none
1,146,1665.9544811232026,503289.6442895829,0,none
1,147,350.748824851411,428901.29759236507,0,none
1,148,999999999.99,0,0,none
1,149,15608.001108403801,1420705.276034556,0,none
1,150,271.59156367996997,423799.7319512933,0,none
1,151,999999999.99,0,0,none
1,152,15608.00374321337,1431999.4960362255,0,none
1,153,544.8961643890909,421499.3503501981,0,none
1,154,899.4457564303559,418555.20441238646,0,none
1,155,15608.000683976483,1466523.8059312808,0,none
1,156,1395.9284984384242,433255.7143473009,0,none
1,157,1259.8443403443434,483677.6311722944,0,none
1,158,1453.7008570218854,501611.15663975815,0,none
1,159,379.3831705235577,427592.0440779941,0,none
1,160,107.56533837813191,407984.2927695754,0,none
1,161,15608.004917643933,1589676.6427933925,0,none
1,162,466.9664691077046,432576.23272340256,0,none
1,163,173.91320451402447,413114.06670396734,0,none
1,164,15608.245848296636,1258888.343991387,0,none
